Course Title, Full Title, Prerequisite
ASTR 150,Killer Skies: Astro-Disasters,NULL
ASTR 210,Introduction to Astrophysics,PHYS 211 
ASTR 310,Computing in Astronomy,PHYS 211 MATH 220 ASTR 210 
ASTR 330,Extraterrestrial Life,NULL
ASTR 390,Individual Study,NULL
ASTR 401,Scientific Writing for Astronomy,NULL
ASTR 405,Planetary Systems,PHYS 212 ASTR 210 PHYS 213 
ASTR 414,Astronomical Techniques,MATH 241 PHYS 212 ASTR 210 PHYS 213 PHYS 214 
ASTR 490,Senior Thesis,NULL
ASTR 496,Seminar in Astronomy,NULL
ASTR 506,Galaxies,ASTR 406 
ASTR 590,Individual Study,NULL
ASTR 596,Seminar in Special Topics,NULL
ASTR 599,Thesis Research,NULL
ATMS 100,Introduction to Meteorology,NULL
ATMS 120,Severe and Hazardous Weather,NULL
ATMS 140,Climate and Global Change,NULL
ATMS 199,Undergraduate Open Seminar,NULL
ATMS 201,General Physical Meteorology,MATH 220 MATH 221 MATH 231 PHYS 211 
ATMS 205,Introduction to Computational Geosciences,NULL
ATMS 304,Radiative Transfer-Remote Sens,MATH 241 PHYS 212 
ATMS 305,Computing and Data Analysis,MATH 241 
ATMS 306,Cloud Physics,ATMS 301 
ATMS 307,Climate Processes,ATMS 201 
ATMS 311,Environmental Issues Today,NULL
ATMS 312,Atmospheric Dynamics II,ATMS 301 ATMS 302 
ATMS 313,Synoptic Weather Forecasting,ATMS 302 ATMS 303 
ATMS 314,Mesoscale Dynamics,ATMS 301 ATMS 302 ATMS 303 
ATMS 315,Meteorological Instrumentation,ATMS 201 ATMS 305 
ATMS 411,Satellite Remote Sensing,MATH 285 PHYS 212 
ATMS 420,Atmospheric Chemistry,CHEM 102 PHYS 211 MATH 241 
ATMS 447,Climate Change Assessment,NULL
ATMS 490,Individual Study,NULL
ATMS 492,Capstone Undergraduate Research,NULL
ATMS 502,Numerical Fluid Dynamics,MATH 285 
ATMS 505,Weather Systems,NULL
ATMS 507,Climate Dynamics,NULL
ATMS 510,Precipitation Physics,ATMS 504 
ATMS 535,Aerosol Sampling and Analysis,NULL
ATMS 590,Individual Study,NULL
ATMS 591,Atmospheric Sciences Seminar,NULL
ATMS 596,Non-Thesis Research,NULL
ATMS 597,Special Topics in Atmospheric Sciences,NULL
ATMS 599,Thesis Research,NULL
BADM 199,Undergraduate Open Seminar,NULL
BADM 205,Business Location Decisions,NULL
BADM 210,Business Analytics I,NULL
BADM 211,Business Analytics II,BADM 210 
BADM 300,The Legal Environment of Bus,NULL
BADM 303,Principles of Public Policy,NULL
BADM 310,Mgmt and Organizational Beh,NULL
BADM 311,Leading Individuals and Teams,NULL
BADM 312,Designing and Managing Orgs,NULL
BADM 313,Strategic Human Resource Management,NULL
BADM 314,Leading Negotiations,NULL
BADM 320,Principles of Marketing,NULL
BADM 322,Marketing Research,NULL
BADM 323,Marketing Communications,NULL
BADM 324,Purchasing and Supply Mgmnt,NULL
BADM 325,Consumer Behavior,NULL
BADM 326,Pricing Policies,NULL
BADM 327,Marketing to Business and Govt,NULL
BADM 329,New Product Development,NULL
BADM 331,Making Things,NULL
BADM 333,Sustainable Product Design & Marketing Plans II: Bottom-Up Enterprise & Marketing Innovation,BADM 332 
BADM 335,Supply Chain Management Basics,NULL
BADM 337,Practicum in Supply Chain Mgt,NULL
BADM 340,Ethical Dilemmas of Business,NULL
BADM 350,IT for Networked Organizations,NULL
BADM 351,E-Business Management,BADM 350 
BADM 352,Database Design and Management,NULL
BADM 353,Info Sys Analysis and Design,BADM 350 
BADM 356,Data Science and Analytics,NULL
BADM 357,Digital Making Seminar,NULL
BADM 359,Business Problem Formulation and Solution,NULL
BADM 366,Product Design and Development,NULL
BADM 374,Management Decision Models,NULL
BADM 375,Operations Management,NULL
BADM 378,Logistics Management,NULL
BADM 379,Business Process Improvement,NULL
BADM 380,International Business,NULL
BADM 381,Multinational Management,NULL
BADM 382,International Marketing,NULL
BADM 394,Senior Research I,NULL
BADM 395,Senior Research II,NULL
BADM 403,Corporate & Commercial Law,NULL
BADM 420,Advanced Marketing Management,NULL
BADM 438,Agri-food Strategic Management,NULL
BADM 440,Business Applications of GIS,NULL
BADM 445,Small Business Consulting,NULL
BADM 446,Entrepreneurship: New Venture Creation,NULL
BADM 449,Business Policy and Strategy,NULL
BADM 453,Business Intelligence,NULL
BADM 461,Tech  Eng  & Mgt Final Project,BADM 366 BADM 367 BADM 460 
BADM 508,Leadership and Teams,NULL
BADM 509,Managing Organizations,NULL
BADM 510,Founds of Organizational Behav,NULL
BADM 512,HR Management and Strategy,NULL
BADM 520,Marketing Management,NULL
BADM 521,Marketing Strategy,NULL
BADM 524,Pricing Strategy and Tactics,NULL
BADM 533,Sustainable Product Design & Enterprise Plan Development - II: Bottom-Up Enterprise & Innovation,BADM 532 
BADM 537,Advanced Topics in Marketing,NULL
BADM 538,Res Sem in Consumer Behavior,NULL
BADM 540,Frontiers in Technology,NULL
BADM 543,Technology Strategy,NULL
BADM 544,Strategic Management,BADM 509 BADM 520 BADM 567 FIN 520 
BADM 546,Strategy Content Research,NULL
BADM 549,Current Strategy Research,NULL
BADM 550,Technology Practicum,NULL
BADM 555,Info Sys Development and Mgt,NULL
BADM 557,Dec Support and Knowledge Mgt,NULL
BADM 562,Social Media Strategy,NULL
BADM 564,Business Process Improvement,BADM 567 MBA 502 
BADM 566,Supply Chain Management,NULL
BADM 571,Digital Business & IT Strategy,NULL
BADM 572,Stat for Mgt Decision Making,NULL
BADM 573,Decision Analytics,NULL
BADM 574,Simulation and Risk Analysis,NULL
BADM 583,Current Topics in Intl Bus,NULL
BADM 584,Global Marketing,NULL
BADM 588,Business Practice Immersion,NULL
BADM 589,Project Management,NULL
BADM 590,Seminar in Business Admin,NULL
BADM 591,Proseminar in Business Admin,NULL
BADM 593,Research in Special Fields,NULL
BADM 594,Independent Study and Research,NULL
BADM 599,Dissertation Research,NULL
BASQ 401,Beginners' Basque,NULL
BCOG 200,Introduction to Programming for the Brain and Cognitive Sciences,NULL
BCOG 301,Intelligence and the Brain,NULL
BCS 102,First Year Bosnian-Croatian-Serbian II,BCS 101 
BCS 115,South Slavic Cultures,NULL
BCS 199,Undergraduate Open Seminar,NULL
BCS 202,Second Year Bosnian-Croatian-Serbian II,BCS 201 
BIOC 199,Undergraduate Open Seminar,NULL
BIOC 290,Individual Topics,NULL
BIOC 445,Current Topics in Biochemistry,MCB 354 MCB 406 
BIOC 446,Physical Biochemistry,CHEM 440 MCB 354 MCB 450 
BIOC 455,Technqs Biochem & Biotech,CHEM 232 CHEM 236 MCB 251 MCB 354 MCB 450 
BIOC 492,Senior Thesis,MCB 354 BIOC 455 
BIOC 590,Individual Topics,NULL
BIOC 595,Biochemistry Seminar,NULL
BIOC 599,Thesis Research,NULL
BIOE 120,Introduction to Bioengineering,NULL
BIOE 198,Special Topics,NULL
BIOE 202,Cell & Tissue Engineering Lab,MCB 150 BIOE 206 
BIOE 205,Signals & Systems in Bioengrg,CS 101 PHYS 212 MATH 285 
BIOE 210,Linear Algebra for Biomedical Data Science,CS 101 MATH 231 
BIOE 297,Individual Study,NULL
BIOE 298,Special Topics,NULL
BIOE 303,Quantitative Physiology Lab,BIOE 302 
BIOE 310,Comp Tools Bio Data,BIOE 205 BIOE 206 
BIOE 360,Transport & Flow in Bioengrg,BIOE 201 BIOE 220 MATH 285 
BIOE 397,Individual Study,NULL
BIOE 414,Biomedical Instrumentation,BIOE 205 ECE 205 ECE 210 
BIOE 415,Biomedical Instrumentation Lab,BIOE 414 
BIOE 420,Intro Bio Control Systems,BIOE 205 BIOE 302 BIOE 303 BIOE 414 BIOE 415 
BIOE 436,Senior Design II,BIOE 435 
BIOE 460,Gene Editing Lab,BIOE 202 BIOE 206 
BIOE 467,Biophotonics,NULL
BIOE 477,Imaging and Therapeutic Probes,NULL
BIOE 479,Cancer Nanotechnology,BIOE 206 CHEM 232 
BIOE 481,Whole-Body Musculoskel Biomech,NULL
BIOE 487,Stem Cell Bioengineering,BIOE 476 
BIOE 497,Individual Study,NULL
BIOE 499,Senior Thesis,NULL
BIOE 500,Graduate Seminar,NULL
BIOE 507,Advanced Bioinstrumentation,BIOE 504 
BIOE 570,Seminar Series,NULL
BIOE 572,Biological Measurement II,BIOE 571 
BIOE 574,Innovation and Introduction to Financial Decision Making,NULL
BIOE 575,Capstone Project,NULL
BIOE 597,Individual Study,NULL
BIOE 598,Special Topics,NULL
BIOE 599,Thesis Research,NULL
BIOL 599,Thesis Research,NULL
BIOP 419,Brain  Behavior & Info Process,NULL
BIOP 586,Special Topics in Biophysics,NULL
BIOP 590,Individual Topics,NULL
BIOP 595,Biophysics Seminars,NULL
BIOP 599,Thesis Research,NULL
BSE 634,Clinical Neuroscience,NULL
BSE 635,Musculoskeletal,NULL
BTW 250,Principles Bus Comm,NULL
BTW 261,Principles Tech Comm,NULL
BTW 263,Writing in the Disciplines,NULL
BTW 271,Persuasive Writing,NULL
BTW 290,Individual Study,NULL
BTW 402,Descriptive English Grammar,NULL
BUS 199,Undergraduate Open Seminar,NULL
BUS 201,Business Dynamics,BUS 101 
BUS 299,BUS Internship,NULL
BUS 302,Principles Prof Responsibility,BUS 101 
BUS 399,Business Study Abroad,NULL
CAS 587,Advanced Study: Special Topics,NULL
CB 290,Independent Research,NULL
CB 434,Pesticide Toxicology,NULL
CB 514,Neurotoxicology,MCB 450 
CB 540,Wildlife Ecosystem Health,NULL
CB 554,Systems Toxicology,NULL
CB 590,Seminar,NULL
CB 591,Biosciences Seminar Series,NULL
CB 592,Special Problems,NULL
CB 596,Interdisciplinary Tox Sem,NULL
CB 599,Thesis Research,NULL
CB 692,Special Problems,NULL
CDB 590,Individual Topics,NULL
CDB 595,Graduate Sem Cell Devel Biol,MCB 400 
CDB 599,Thesis Research,NULL
CEE 201,Systems Engrg & Economics,MATH 231 MATH 225 
CEE 202,Engineering Risk & Uncertainty,MATH 241 
CEE 300,Behavior of Materials,CHEM 104 TAM 251 
CEE 310,Transportation Engineering,TAM 251 CEE 202 
CEE 320,Construction Engineering,CEE 201 CS 101 CEE 202 
CEE 330,Environmental Engineering,CHEM 104 
CEE 350,Water Resources Engineering,CEE 202 CEE 201 
CEE 360,Structural Engineering,TAM 251 
CEE 380,Geotechnical Engineering,TAM 251 
CEE 398,Special Topics,NULL
CEE 410,Railway Signaling & Control,CEE 310 
CEE 411,RR Project Design & Constr,CEE 310 
CEE 415,Geometric Design of Roads,CEE 310 
CEE 417,Urban Transportation Planning,NULL
CEE 418,Public Transportation Systems,CEE 310 
CEE 420,Construction Productivity,CEE 320 
CEE 421,Construction Planning,CEE 320 
CEE 422,Construction Cost Analysis,CEE 320 
CEE 424,Sustainable Const Methods,CEE 320 CEE 420 CEE 421 CEE 422 
CEE 433,Water Technology and Policy,CEE 340 CEE 350 
CEE 437,Water Quality Engineering,CEE 330 TAM 335 
CEE 440,Fate Cleanup Environ Pollutant,CEE 330 
CEE 442,Environmental Engineering Principles  Physical,CEE 437 
CEE 447,Atmospheric Chemistry,NULL
CEE 449,Environmental Engineering Lab,CEE 437 CEE 446 
CEE 452,Hydraulic Analysis and Design,TAM 335 
CEE 453,Urban Hydrology and Hydraulics,CEE 350 
CEE 460,Steel Structures I,CEE 360 
CEE 461,Reinforced Concrete I,CEE 360 
CEE 462,Steel Structures II,CEE 460 
CEE 465,Design of Structural Systems,CEE 460 CEE 461 
CEE 468,Prestressed Concrete,CEE 461 
CEE 470,Structural Analysis,CEE 360 
CEE 480,Foundation Engineering,CEE 380 
CEE 483,Soil Mechanics and Behavior,CEE 380 
CEE 484,Applied Soil Mechanics,CEE 483 
CEE 495,Professional Practice,NULL
CEE 497,Independent Study,NULL
CEE 498,Special Topics,NULL
CEE 503,Constr Matls Deterioration,CEE 401 CEE 405 
CEE 506,Pavement Design II,CEE 406 
CEE 517,Traffic Signal Systems,CEE 416 
CEE 537,Water Quality Control Proc I,CEE 442 CEE 443 
CEE 538,Water Quality Control Proc II,CEE 442 CEE 443 CEE 444 
CEE 544,Advanced Surface Science,CEE 442 
CEE 545,Aerosol Sampling and Analysis,CEE 446 MATH 285 
CEE 546,Air Quality Control,CEE 442 CEE 446 
CEE 550,Hydroclimatology,CEE 450 
CEE 553,River Morphodynamics,TAM 335 
CEE 554,Hydrologic Variability,CEE 450 
CEE 562,Highway Bridge Design,CEE 460 CEE 461 CEE 472 
CEE 570,Finite Element Methods,CEE 471 TAM 551 
CEE 572,Earthquake Engineering,CEE 472 
CEE 573,Structural Dynamics II,CEE 472 
CEE 583,Shear Strength of Soils,CEE 483 
CEE 585,Deep Foundations,CEE 484 
CEE 592,Sustainable Urban Systems,ATMS 421 CEE 491 NRES 439 UP 456 UP 480 NRES 454 UP 418 GEOG 480 
CEE 595,Seminar,NULL
CEE 597,Independent Study,NULL
CEE 598,Special Topics,NULL
CEE 599,Thesis Research,NULL
CHBE 121,CHBE Profession,CHEM 102 CHEM 202 
CHBE 199,Undergraduate Open Seminar,NULL
CHBE 202,Cooperative Education Practice,NULL
CHBE 210,CHBE Internship,NULL
CHBE 221,Principles of CHE,CHEM 104 CHEM 204 CS 101 
CHBE 297,Individual Study Sophomores,NULL
CHBE 321,Thermodynamics,CHBE 221 
CHBE 397,Individual Study for Juniors,NULL
CHBE 421,Momentum and Heat Transfer,CHBE 221 
CHBE 422,Mass Transfer Operations,CHBE 321 CHBE 421 
CHBE 424,Chemical Reaction Engineering,CHBE 422 
CHBE 430,Unit Operations Laboratory,CHBE 422 CHBE 424 
CHBE 431,Process Design,CHBE 422 CHBE 424 
CHBE 440,Process Control and Dynamics,CHBE 421 MATH 285 CS 101 
CHBE 455,Polymers Synthesis and Industrial Applications,NULL
CHBE 473,Biomolecular Engineering,NULL
CHBE 476,Biotransport,CHBE 421 CHBE 422 
CHBE 494,Special Topics,NULL
CHBE 497,Individual Study for Seniors,NULL
CHBE 499,Senior Thesis,NULL
CHBE 510,Graduate CHBE Internship,NULL
CHBE 522,Fluid Dynamics,NULL
CHBE 525,Statistical Thermodynamics for Chemical Engineers,CHBE 321 
CHBE 565,CHBE Seminar,CHBE 422 
CHBE 571,Bioinformatics,NULL
CHBE 593,Individual Study,NULL
CHBE 594,Special Topics,NULL
CHBE 597,Special Problems,NULL
CHBE 598,Research Seminar,NULL
CHBE 599,Thesis Research,NULL
CHEM 101,Introductory Chemistry,MATH 112 
CHEM 102,General Chemistry I,MATH 112 CHEM 102 CHEM 103 
CHEM 103,General Chemistry Lab I,CHEM 102 
CHEM 104,General Chemistry II,CHEM 102 CHEM 202 
CHEM 105,General Chemistry Lab II,CHEM 102 CHEM 103 CHEM 104 
CHEM 108,Chemistry  Everyday Phenomena,MATH 112 
CHEM 197,Individual Study Freshman,NULL
CHEM 199,Undergraduate Open Seminar,NULL
CHEM 204,Accelerated Chemistry II,CHEM 202 CHEM 203 CHEM 205 
CHEM 205,Accelerated Chemistry Lab II,CHEM 204 
CHEM 232,Elementary Organic Chemistry I,CHEM 104 CHEM 105 CHEM 204 
CHEM 233,Elementary Organic Chem Lab I,CHEM 232 
CHEM 236,Fundamental Organic Chem I,CHEM 204 CHEM 222 CHEM 223 
CHEM 237,Structure and Synthesis,CHEM 236 
CHEM 293,Cooperative Education Practice,NULL
CHEM 297,Individual Study Sophomore,NULL
CHEM 312,Inorganic Chemistry,CHEM 232 CHEM 236 
CHEM 315,Instrumental Chem Systems Lab,CHEM 237 CHEM 223 CHEM 233 
CHEM 317,Inorganic Chemistry Lab,CHEM 312 
CHEM 332,Elementary Organic Chem II,CHEM 232 CHEM 233 
CHEM 360,Chemistry of the Environment,CHEM 102 CHEM 202 CHEM 232 CHEM 236 CHEM 360 
CHEM 397,Individual Study Junior,NULL
CHEM 420,Instrumental Characterization,CHEM 440 CHEM 442 
CHEM 436,Fundamental Organic Chem II,CHEM 236 CHEM 237 CHEM 232 CHEM 233 
CHEM 437,Organic Chemistry Lab,CHEM 233 CHEM 237 CHEM 332 CHEM 436 
CHEM 442,Physical Chemistry I,CHEM 204 CHEM 222 MATH 225 MATH 415 PHYS 211 PHYS 212 PHYS 214 
CHEM 444,Physical Chemistry II,CHEM 442 
CHEM 445,Physical Principles Lab I,CHEM 315 CHEM 444 
CHEM 447,Physical Principles Lab II,CHEM 445 
CHEM 472,Physical Biochemistry,NULL
CHEM 474,Drug Discovery & Development,CHEM 332 CHEM 436 MCB 354 MCB 450 
CHEM 482,Polymer Physics,NULL
CHEM 492,Special Topics in Chemistry,NULL
CHEM 494,Lab Safety Fundamentals,NULL
CHEM 497,Individual Study Senior,NULL
CHEM 499,Senior Thesis,NULL
CHEM 515,Inorganic Chemistry Seminar,NULL
CHEM 516,Physical Inorganic Chemistry,CHEM 444 
CHEM 517,Advanced Inorganic Chem Lab,NULL
CHEM 524,Electrochemical Methods,NULL
CHEM 525,Analytical Chemistry Seminar,NULL
CHEM 530,Structure and Spectroscopy,CHEM 332 CHEM 436 
CHEM 535,Organic Chemistry Seminar,NULL
CHEM 536,Organic Chemistry Research,NULL
CHEM 538,Topics in Organic Chemistry,CHEM 532 CHEM 534 
CHEM 542,Quantum Mech and Spectroscopy,CHEM 540 
CHEM 545,Physical Chemistry Seminar,NULL
CHEM 546,Advanced Statistical Mechanics,CHEM 540 CHEM 544 
CHEM 571,Chemical Biology Laboratory,NULL
CHEM 575,Chemical Biology Seminar,NULL
CHEM 585,Materials Chemistry Seminar,NULL
CHEM 588,Physical Methods Mat Chem,NULL
CHEM 590,Special Topics in Chemistry,CHEM 599 
CHEM 599,Thesis Research,NULL
CHIN 201,Elementary Chinese I,NULL
CHIN 202,Elementary Chinese II,CHIN 201 
CHIN 203,Intermediate Chinese I,CHIN 202 
CHIN 204,Intermediate Chinese II,CHIN 203 
CHIN 242,Chinese Reading and Writing,CHIN 241 
CHIN 306,Advanced Chinese II,CHIN 305 
CHIN 409,Social Science Rdgs Chinese,NULL
CHIN 441,Fourth-Year Chinese II,CHIN 440 
CHIN 490,Readings in Chinese Lit,NULL
CHLH 100,Contemporary Health,NULL
CHLH 101,Introduction to Public Health,NULL
CHLH 125,Orientation KIN & Comm Health,NULL
CHLH 199,Undergraduate Open Seminar,NULL
CHLH 200,Mental Health,NULL
CHLH 201,Public Health Research Methods,NULL
CHLH 206,Human Sexuality,NULL
CHLH 210,Community Health Organizations,NULL
CHLH 243,Drug Use and Abuse,NULL
CHLH 250,Health Care Systems,NULL
CHLH 260,Introduction to Medical Ethics,NULL
CHLH 274,Introduction to Epidemiology,NULL
CHLH 304,Foundations of Health Behavior,CHLH 100 
CHLH 330,Disability in American Society,NULL
CHLH 336,Tomorrow's Environment,NULL
CHLH 365,Civic Engagement in Wellness,NULL
CHLH 380,Orientation to Internship,NULL
CHLH 393,Special Projects,NULL
CHLH 407,Disability  Culture & Society,NULL
CHLH 409,Women's Health,CHLH 100 
CHLH 410,Public Health Practice,CHLH 210 
CHLH 415,International Health,NULL
CHLH 421,Health Data Analysis,NULL
CHLH 444,LGBT Indiv  Fam & Community,NULL
CHLH 455,Health Services Financing,NULL
CHLH 457,Health Planning,CHLH 250 
CHLH 458,Health Administration,NULL
CHLH 461,Environ Toxicology & Health,NULL
CHLH 469,Environmental Health,CHLH 274 
CHLH 485,Community Health Internship,NULL
CHLH 494,Special Topics,NULL
CHLH 540,Health Behavior: Theory,NULL
CHLH 550,Health Policy: United States,CHLH 429 
CHLH 569,Systematic Review and Meta-analysis,NULL
CHLH 572,Principles of Epidemiology,NULL
CHLH 577,Health Program Evaluation,NULL
CHLH 585,Community Health Internship,CHLH 429 CHLH 474 CHLH 510 
CHLH 589,MPH Integrative Learning Experience,NULL
CHLH 591,Seminar,NULL
CHLH 593,Special Projects,EPSY 480 KIN 501 CHLH 540 
CHLH 594,Special Topics,NULL
CHLH 599,Thesis Research,NULL
CHP 199,Special Topics,NULL
CHP 395,Interdisciplinary Seminar,NULL
CI 205,Undergraduate Honors Research,NULL
CI 395,Independent Study,NULL
CI 401,Introductory Teaching in a Diverse Society,NULL
CI 404,Teaching and Assessing Secondary School Students,CI 402 CI 403 EDPR 442 
CI 407,Theory Practice in Elementary School Teaching II,CI 406 EDPR 432 
CI 415,Language Varieties  Cultures and Learning,NULL
CI 420,Foundations of Early Childhood Education,EPSY 236 EPS 201 
CI 424,Child Development & Technology,NULL
CI 431,Tchg Elementary Mathematics,MATH 103 
CI 432,Invest Approach Elem Math Inst,CI 430 CI 431 
CI 437,Educational Game Design,NULL
CI 442,Math  Sci  Tech in Early Child,CI 420 MATH 103 EDPR 432 
CI 443,Mathematics in Early Childhood Education,CI 420 
CI 444,Social Stud Early Childhood Ed,CI 420 
CI 446,Culture in the Classroom,NULL
CI 448,Tchg Elem Social Studies,NULL
CI 451,Teaching Elementary Science II,CI 450 
CI 466,Language Literacy in Early Childhood Education II,CI 465 CI 420 CI 443 
CI 467,Princ Tchg Lit to Child Youth,NULL
CI 473,Disciplinary Literacy,NULL
CI 475,Teaching Elementary Reading and Language Arts I,CI 467 
CI 477,Biling ESL Methods & Material,CI 433 
CI 484,Learning Technologies,NULL
CI 489,DELTA Capstone Project,CI 481 
CI 507,Prob Trends in Spec Fields,NULL
CI 520,History of Early Childhood Pedagogy and Programs,NULL
CI 550,Methods of Educational Inquiry,NULL
CI 560,Trends & Issues Language Arts,NULL
CI 565,Topics Research and Writing,NULL
CI 567,Child Lit in the School Curr,CI 467 LIS 404 
CI 569,Topics Discourse and Writing,NULL
CI 590,Sem for Adv Stu of Education,NULL
CI 591,Field Study & Thesis Seminar,NULL
CI 595,Independent Study,NULL
CI 599,Thesis Research,NULL
CIC 500,CIC Traveling Scholar,NULL
CLCV 102,Medical Terms-GRK & LAT Roots,NULL
CLCV 111,Mythology of Greece and Rome,NULL
CLCV 114,Introduction to Greek Culture,NULL
CLCV 115,Mythology of Greece and Rome,NULL
CLCV 116,The Roman Achievement,NULL
CLCV 132,Class Archaeology  Rome-Italy,NULL
CLCV 160,Ancient Greek & Roman Religion,NULL
CLCV 199,Undergraduate Open Seminar,NULL
CLCV 203,Ancient Philosophy,NULL
CLCV 220,Origins of Western Literature,NULL
CLCV 221,The Heroic Tradition,NULL
CLCV 240,Sex & Gender in Antiquity,NULL
CLCV 291,Freshman Honors Tutorial,NULL
CLCV 444,The Archaeology of Italy,NULL
CLCV 492,Senior Thesis,NULL
CLCV 493,Independent Reading,NULL
CLCV 498,Senior Survey,NULL
CLE 612,Clinical Integration II,NULL
CLE 622,Physical Diagnosis II,NULL
CMN 101,Public Speaking,NULL
CMN 102,Intro to Comm Theory & Res,NULL
CMN 112,Oral & Written Comm II,CMN 111 
CMN 191,Freshman Honors Tutorial,NULL
CMN 204,Internship in Teaching Comm,NULL
CMN 211,Business Communication,CMN 101 
CMN 212,Intro to Organizational Comm,NULL
CMN 213,Small Group Communication,NULL
CMN 215,Interviewing Principles & Practices,CMN 101 CMN 111 CMN 112 
CMN 220,Communicating Public Policy,NULL
CMN 230,Intro to Interpersonal Comm,NULL
CMN 231,Communication and Conflict,NULL
CMN 232,Intro to Intercultural Comm,NULL
CMN 250,Social Movement Communication,NULL
CMN 260,Intro to Health Communication,NULL
CMN 277,Introduction to Mediated Communication,NULL
CMN 280,Comm Technology & Society,NULL
CMN 304,Communication Internship,NULL
CMN 312,Communicating for Innovation,NULL
CMN 321,Strategies of Persuasion,NULL
CMN 323,Argumentation,CMN 101 
CMN 336,Family Communication,NULL
CMN 338,Relationships and Technologies,NULL
CMN 340,Visual Politics,NULL
CMN 368,Sexual Communication,NULL
CMN 375,Popular Media and Culture,NULL
CMN 390,Individual Study,NULL
CMN 396,Special Topics in Comm,NULL
CMN 410,Workplace Comm Technology,NULL
CMN 412,Adv Organizational Comm,CMN 212 
CMN 421,Persuasion Theory & Research,NULL
CMN 424,Campaigning to Win,NULL
CMN 429,Race and the Mass Media,NULL
CMN 435,Adv Interpersonal Comm,CMN 230 
CMN 462,Interpersonal Health Comm,NULL
CMN 463,Organizational Health Comm,NULL
CMN 464,Health Communication Campaigns,NULL
CMN 491,Honors Individual Study,NULL
CMN 493,Honors Senior Thesis,NULL
CMN 496,Adv Topics in Communication,NULL
CMN 504,Health & Family Communication,NULL
CMN 508,Successful Health Campaigns,NULL
CMN 529,Seminar Communication Theory,NULL
CMN 538,Seminar Rhetorical Theory,NULL
CMN 575,Capstone Individual Study,NULL
CMN 595,Special Problems,NULL
CMN 599,Thesis Research,NULL
CPSC 112,Introduction to Crop Sciences,NULL
CPSC 116,The Global Food Production Web,NULL
CPSC 117,Agriculture and Science of Coffee,NULL
CPSC 131,Agriculture in Mythology,NULL
CPSC 180,Medicinal Plants and Herbology,NULL
CPSC 199,Special Topics,NULL
CPSC 241,Intro to Applied Statistics,NULL
CPSC 261,Biotechnology in Agriculture,NULL
CPSC 265,Genetic Engineering Lab,NULL
CPSC 293,Off-Campus Crop Sci Internship,NULL
CPSC 294,On-Campus Crop Sci Internship,NULL
CPSC 295,Undergrad Research or Thesis,NULL
CPSC 336,Tomorrow's Environment,NULL
CPSC 352,Plant Genetics,IB 103 IB 104 
CPSC 396,Undergrad Honors Res or Thesis,NULL
CPSC 418,Crop Growth and Management,IB 103 CPSC 112 
CPSC 436,Conservation Biology,NULL
CPSC 440,Applied Statistical Methods I,MATH 112 
CPSC 453,Principles of Plant Breeding,IB 103 CPSC 352 
CPSC 475,Insect Pathology,NULL
CPSC 484,Plant Physiology,NULL
CPSC 488,Soil Fertility and Fertilizers,NULL
CPSC 491,Ugrad Bioinformatics Seminar,NULL
CPSC 499,Advanced Special Topics,NULL
CPSC 505,Research Methods in Crop Sciences,NULL
CPSC 518,Crop Growth and Development,CPSC 418 CPSC 484 
CPSC 526,Herbicide Action in Plants,CPSC 426 CPSC 484 
CPSC 542,Applied Statistical Methods II,CPSC 440 
CPSC 556,Plant Breeding Literature,NULL
CPSC 567,Bioinformatics & Systems Biol,NULL
CPSC 591,Grad Bioinformatics Seminar,NULL
CPSC 593,Adv Studies in Crop Sciences,NULL
CPSC 598,Seminar,NULL
CPSC 599,Thesis Research,NULL
CS 101,Intro Computing: Engrg & Sci,MATH 220 MATH 221 
CS 102,Little Bits to Big Ideas,NULL
CS 105,Intro Computing: Non-Tech,MATH 112 
CS 125,Intro to Computer Science,MATH 112 
CS 126,Software Design Studio,CS 125 
CS 173,Discrete Structures,CS 125 ECE 220 MATH 220 MATH 221 
CS 196,Freshman Honors,NULL
CS 199,Undergraduate Open Seminar in Computer Science,NULL
CS 210,Ethical & Professional Issues,CS 225 
CS 225,Data Structures,CS 125 ECE 220 CS 173 MATH 213 
CS 233,Computer Architecture,CS 125 CS 173 CS 225 
CS 241,System Programming,CS 225 CS 233 
CS 242,Programming Studio,CS 241 
CS 296,Honors Course,NULL
CS 357,Numerical Methods I,MATH 225 MATH 415 MATH 241 
CS 361,Probability & Statistics for Computer Science,MATH 220 MATH 221 MATH 225 MATH 415 MATH 416 
CS 374,Introduction to Algorithms & Models of Computation,CS 225 MATH 225 MATH 415 
CS 397,Individual Study,NULL
CS 398,Special Topics,NULL
CS 410,Text Information Systems,CS 225 
CS 411,Database Systems,CS 225 
CS 412,Introduction to Data Mining,CS 225 
CS 413,Intro to Combinatorics,NULL
CS 418,Interactive Computer Graphics,CS 225 MATH 225 MATH 415 MATH 241 
CS 421,Programming Languages & Compilers,CS 233 CS 240 CS 374 
CS 422,Programming Language Design,CS 421 
CS 423,Operating Systems Design,CS 241 ECE 391 
CS 425,Distributed Systems,CS 241 ECE 391 
CS 428,Software Engineering II,CS 427 
CS 429,Software Engineering II  ACP,CS 427 
CS 431,Embedded Systems,CS 241 ECE 391 
CS 433,Computer System Organization,CS 233 
CS 438,Communication Networks,CS 241 ECE 391 ECE 313 MATH 461 MATH 463 
