Course Title, Full Title, Prerequisite
ACES 298,International Experience,NULL
ACES 299,ACES Study Abroad,NULL
ACES 396,Honors Study Abroad Retrospect,NULL
ACES 399,Honors Seminar,NULL
ACES 499,Interdisciplinary ACES Seminar,NULL
ADV 150,Introduction to Advertising,NULL
ADV 199,Undergraduate Seminar,NULL
ADV 281,Advertising Research Methods,ADV 150 STAT 100 
ADV 283,Advertising and Brand Strategy,ADV 150 ADV 281 
ADV 284,Consumer Insight,ADV 281 
ADV 290,Special Topics in Advertising,NULL
ADV 305,Digital Advertising Content  Technologies and Concepts,ADV 150 
ADV 310,Intro to Public Relations,NULL
ADV 311,Classic Campaigns,NULL
ADV 312,Advertising History,NULL
ADV 315,Emerging Media,NULL
ADV 350,Writing for Public Relations,ADV 310 
ADV 390,Content Creation,ADV 284 
ADV 396,Research Experience in Advertising,ADV 150 ADV 281 
ADV 399,Advertising Study Abroad,NULL
ADV 400,Special Problems,NULL
ADV 409,Media Entrepreneurship,NULL
ADV 410,Public Relations Strategies,ADV 310 
ADV 454,Creative Concepts II,ADV 452 
ADV 460,Innovation in Advertising,ADV 283 ADV 284 
ADV 476,Global Advertising,ADV 150 
ADV 483,Audience Analysis,ADV 283 ADV 284 
ADV 490,Advanced Special Topics in Advertising,NULL
ADV 492,Tech and Advertising Campaigns,CS 225 
ADV 495,Internship Seminar,NULL
ADV 498,The Sandage Project,ADV 283 ADV 390 ADV 460 
ADV 509,Media Entrepreneurship,NULL
ADV 581,Quanti Research Methods in Adv,NULL
ADV 588,Graduate Seminar II,ADV 587 
ADV 590,Special Topics in Advertising,NULL
ADV 594,Advanced Topics in Advertising,NULL
ADV 598,Professional Project,ADV 588 
ADV 599,Thesis Research,ADV 588 
AE 199,Undergraduate Open Seminar,NULL
AE 202,Aerospace Flight Mechanics,TAM 212 
AE 298,Special Topics,NULL
AE 311,Incompressible Flow,AE 202 MATH 241 
AE 312,Compressible Flow,AE 202 MATH 285 ME 300 
AE 321,Mechs of Aerospace Structures,MATH 285 TAM 210 
AE 323,Applied Aerospace Structures,AE 321 MATH 241 MATH 285 TAM 210 
AE 352,Aerospace Dynamical Systems,MATH 225 MATH 285 TAM 212 
AE 353,Aerospace Control Systems,MATH 225 MATH 285 TAM 212 
AE 370,Aerospace Numerical Methods,AE 311 AE 312 AE 321 AE 323 
AE 395,Honors Project,NULL
AE 396,Honors Seminar,NULL
AE 397,Independent Study,NULL
AE 403,Spacecraft Attitude Control,AE 352 AE 353 
AE 410,Computational Aerodynamics,AE 311 AE 312 
AE 419,Aircraft Flight Mechanics,AE 202 AE 353 
AE 420,Finite Element Analysis,NULL
AE 434,Rocket Propulsion,AE 312 AE 433 
AE 435,Electric Propulsion,AE 433 
AE 443,Aerospace Systems Design II,AE 442 
AE 461,Structures & Control Lab,AE 321 AE 352 AE 323 AE 353 
AE 468,Optical Remote Sensing,NULL
AE 482,Introduction to Robotics,NULL
AE 497,Independent Study,NULL
AE 498,Special Topics,NULL
AE 504,Optimal Aerospace Systems,AE 352 
AE 510,Advanced Gas Dynamics,NULL
AE 514,Boundary Layer Theory,AE 412 
AE 515,Wing Theory,AE 416 
AE 538,Combustion Fundamentals,NULL
AE 543,Aerospace Syst Engineering II,AE 542 
AE 554,Dynamical Systems Theory,TAM 416 ME 340 TAM 412 AE 352 
AE 590,Seminar,NULL
AE 597,Independent Study,NULL
AE 598,Special Topics,NULL
AE 599,Thesis Research,NULL
AFAS 102,Leadership Laboratory,NULL
AFAS 112,Heritage and Values of the United States Air Force II,AFAS 111 AFAS 102 
AFAS 222,Team and Leadership Fundamentals II,AFAS 221 AFAS 102 
AFAS 332,Leading People and Effective Communication II,AFAS 331 AFAS 102 
AFAS 342,Nat Sec Afrs/Prep Actv Duty II,AFAS 341 
AFRO 100,Intro to African American St,NULL
AFRO 103,Black Women in the Diaspora,NULL
AFRO 106,Hist Arch Americas,NULL
AFRO 132,African American Music,NULL
AFRO 215,US Citizenship Comparatively,NULL
AFRO 220,Intro to Research Methods AfAm,NULL
AFRO 221,History of the Prison,NULL
AFRO 224,Humanist Persp of Afro-Am Exp,AFRO 100 
AFRO 226,Black Women Contemp US Society,NULL
AFRO 261,Intro to the African Diaspora,NULL
AFRO 276,Afro-American Hist Since 1877,NULL
AFRO 281,Constructing Race in America,NULL
AFRO 287,African-American Women,NULL
AFRO 298,Spec Topics African-Am Studies,AFRO 100 AFRO 101 
AFRO 310,Race and Cultural Diversity,NULL
AFRO 340,Dancing Black Popular Culture,NULL
AFRO 342,Black Men and Masculinities,NULL
AFRO 343,Criminalization and Punishment,NULL
AFRO 383,Hist of Blk Women's Activism,AFRO 100 AFRO 101 AFRO 103 
AFRO 398,Spec Topics Afro-Am Studies,AFRO 224 HIST 275 HIST 276 ENGL 259 ENGL 260 
AFRO 421,Racial and Ethnic Families,NULL
AFRO 474,Black Freed Move  1955-Present,AFRO 101 HIST 276 
AFRO 495,Senior Thesis Seminar,AFRO 100 AFRO 220 AFRO 490 
AFRO 501,Problems African American Hist,NULL
AFRO 595,Directed Independent Readings,NULL
AFRO 597,Problems in African-Am Studies,AFRO 500 
AFST 103,Black Women in the Diaspora,NULL
AFST 199,Undergraduate Open Seminar,NULL
AFST 232,Elementary Swahili II,NULL
AFST 242,Elementary Wolof II,NULL
AFST 254,Economic Systems in Africa,NULL
AFST 313,Modern and Contemp African Art,NULL
AFST 406,Topics Swahili Lang & Lit II,NULL
AFST 408,Adv Topics Swahili Lang&Lit II,NULL
AFST 434,Intermediate Swahili II,NULL
AFST 436,Advanced Swahili II,NULL
AFST 443,Intermediate Wolof I,NULL
AFST 445,Advanced Wolof I,NULL
AFST 446,Advanced Wolof II,NULL
AFST 490,Independent Study,NULL
AFST 495,Special Topics,NULL
AFST 515,Practicum in African Studies,NULL
AFST 522,Development of African Studies,NULL
AFST 550,Special Topics,NULL
AFST 599,Thesis Research,NULL
AGCM 220,Communicating Agriculture,NULL
AGCM 230,Agricultural and Environmental Photography,NULL
AGCM 250,Visual Principles for Ag Comm,NULL
AGCM 270,Ag Sales and Persuasive Communication,NULL
AGCM 293,Communications Internship,NULL
AGCM 294,Research Internship,NULL
AGCM 295,Independent Study or Research,NULL
AGCM 315,Emerging Media,NULL
AGCM 320,Public Information Campaigns,NULL
AGCM 330,Environmental Communications,NULL
AGCM 396,Honors Research or Thesis,NULL
AGED 199,Undergraduate Open Seminar,NULL
AGED 250,Observation and Program Analys,AGED 220 EDPR 203 
AGED 260,Intro to Leadership Studies,NULL
AGED 293,Ag Leadership Internship,NULL
